0.0209,0.0245,0.0235,0.0252,0.0281
0.0089,0.0176,0.0201,0.023,0.0281,0.0292,0.0294,0.0321,0.0302,0.0318
0.0113,0.0152,0.025,0.0225,0.0303,0.0308,0.0303,0.0357,0.0333,0.0334
0.0212,0.0259,0.0231,0.0238,0.0266,0.0281,0.0269,0.026,0.0238,0.0269
0.0209,0.0245,0.0235,0.0252,0.0281,0.0255,0.0307,0.0288,0.0273,0.0301
0.0209,0.0245,0.0235,0.0252,0.0281,0.0255,0.0307,0.0288,0.0273,0.0301
0.0162,0.0172,0.0226,0.023,0.0239,0.0268,0.0254,0.0286,0.0309,0.0245
0.0144,0.0296,0.0223,0.0271,0.0249,0.0195,0.0235,0.0297,0.0289,0.0323
0.0228,0.0222,0.0245,0.0232,0.0264,0.0253,0.025,0.0283,0.0329,0.027
0.0104,0.0101,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0102,0.01,0.0134,0.0151,0.0132,0.01,0.0113,0.01,0.0091,0.0094
0.0118,0.0104,0.011,0.0119,0.014,0.0161,0.0165,0.016,0.0112,0.0134
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0097,0.01,0.0134,0.0091,0.0112,0.0054,0.0085,0.0137,0.0131,0.0162
0.0181,0.0081,0.0112,0.0173,0.0186,0.0199,0.0201,0.0205,0.0149,0.0224
0.0101,0.01,0.0095,0.0097,0.0175,0.0129,0.019,0.0106,0.0181,0.0193
0.0074,0.0128,0.0127,0.0113,0.0108,0.014,0.0155,0.0131,0.0121,0.0121
